Season,TeamID,Opponent_WinPct,Opponent_PointDiff,AdjPointDiff
1985,1292,75,27,2025
1985,1298,66.66666667,6,400
1985,1299,75,21,1575
1985,1301,65.55555556,23,1507.777778
1985,1305,75,28,2100
1985,1314,72.22222222,14,1011.111111
1985,1318,66.66666667,35,2333.333333
1985,1323,75,27,2025
1985,1325,50,11,550
1985,1326,66.66666667,36,2400
1985,1328,65.55555556,18.66666667,1223.703704
1985,1330,50,17,850
1985,1333,50,9,450
1985,1335,80,17,1360
1985,1337,50,13,650
1985,1338,66.66666667,36,2400
1985,1345,66.66666667,3,200
1985,1104,62.5,22,1375
1985,1361,50,5,250
1985,1112,66.66666667,13,866.6666667
1985,1116,80,52,4160
1985,1374,66.66666667,14,933.3333333
1985,1120,62.5,19,1187.5
1985,1380,80,52,4160
1985,1385,68.75,31.5,2165.625
1985,1130,65,15,975
1985,1393,75,32,2400
1985,1396,83.33333333,78,6500
1985,1403,66.66666667,3,200
1985,1409,50,4,200
1985,1412,80,17,1360
1985,1424,66.66666667,11,733.3333333
1985,1425,50,3,150
1985,1173,100,30,3000
1985,1431,75,28,2100
1985,1433,66.66666667,13,866.6666667
1985,1177,50,5,250
1985,1181,66.66666667,3,200
1985,1437,71,26.4,1874.4
1985,1439,50,3,150
1985,1192,50,4,200
1985,1449,66.66666667,11,733.3333333
1985,1455,50,8,400
1985,1207,74.33333333,26.2,1947.533333
1985,1208,66.66666667,35,2333.333333
1985,1210,66.66666667,39.33333333,2622.222222
1985,1228,62.5,20,1250
1985,1229,75,21,1575
1985,1233,66.66666667,14,933.3333333
1985,1234,50,9,450
1985,1235,50,11,550
1985,1242,66.66666667,3,200
1985,1246,65,28.5,1852.5
1985,1250,83.33333333,78,6500
1985,1256,62.5,16,1000
1985,1260,66.66666667,47.5,3166.666667
1985,1261,50,23,1150
1985,1267,50,16,800
1985,1268,75,26.5,1987.5
1985,1272,72.91666667,14,1020.833333
1985,1273,75,32,2400
1985,1275,66.66666667,6,400
1985,1276,100,30,3000
1985,1277,50,2,100
1986,1281,50,2,100
1986,1286,50,9,450
1986,1290,83.33333333,67,5583.333333
1986,1298,66.66666667,42,2800
1986,1299,80,65,5200
1986,1301,65.55555556,25.66666667,1682.592593
1986,1304,50,8,400
1986,1314,75,36.5,2737.5
1986,1318,50,6,300
1986,1323,50,7,350
1986,1328,66.66666667,9,600
1986,1330,83.33333333,67,5583.333333
1986,1337,50,5,250
1986,1345,80,17,1360
1986,1350,50,1,50
1986,1103,50,6,300
1986,1104,62.5,28,1750
1986,1112,75,33,2475
1986,1114,75,20,1500
1986,1120,72.22222222,36.33333333,2624.074074
1986,1123,50,32,1600
1986,1385,75,33,2475
1986,1386,66.66666667,10,666.6666667
1986,1133,100,71,7100
1986,1135,50,49,2450
1986,1393,75,32,2400
1986,1396,80,65,5200
1986,1403,50,6,300
1986,1409,75,32,2400
1986,1412,66.66666667,30,2000
1986,1156,62.5,16.5,1031.25
1986,1419,66.66666667,29,1933.333333
1986,1424,62.5,19,1187.5
1986,1428,66.66666667,30,2000
1986,1172,75,32,2400
1986,1431,50,18,900
1986,1177,66.66666667,36.5,2433.333333
1986,1180,100,71,7100
1986,1181,74.33333333,37,2750.333333
1986,1437,66.66666667,20,1333.333333
